Region,Annee,Frequentation
HAUTS-DE-FRANCE,2013,"13,83"
ILE-DE-FRANCE,2013,"55,52"
NORMANDIE,2013,"8,19"
NOUVELLE AQUITAINE,2013,"15,18"
OCCITANIE,2013,"15,75"
PAYS DE LA LOIRE,2013,"10,01"
PROVENCE-ALPES-COTE D'AZUR,2013,"15,79"
AUVERGNE-RHONE-ALPES,2014,"25,06"
BOURGOGNE-FRANCHE-COMTE,2014,"7,21"
BRETAGNE,2014,"9,62"
CENTRE-VAL DE LOIRE,2014,"6,66"
CORSE,2014,"0,39"
GRAND EST,2014,"15,89"
HAUTS-DE-FRANCE,2014,"15,72"
ILE-DE-FRANCE,2014,"57,27"
NORMANDIE,2014,"9,17"
NOUVELLE AQUITAINE,2014,"16,62"
OCCITANIE,2014,"17,15"
PAYS DE LA LOIRE,2014,"11,13"
PROVENCE-ALPES-COTE D'AZUR,2014,"17,20"
AUVERGNE-RHONE-ALPES,2015,"24,66"
BOURGOGNE-FRANCHE-COMTE,2015,"7,36"
BRETAGNE,2015,"9,71"
CENTRE-VAL DE LOIRE,2015,"6,54"
CORSE,2015,"0,61"
GRAND EST,2015,"15,76"
HAUTS-DE-FRANCE,2015,"15,88"
ILE-DE-FRANCE,2015,"53,87"
NORMANDIE,2015,"9,11"
NOUVELLE AQUITAINE,2015,"16,77"
OCCITANIE,2015,"16,95"
PAYS DE LA LOIRE,2015,"11,31"
PROVENCE-ALPES-COTE D'AZUR,2015,"16,82"
AUVERGNE-RHONE-ALPES,2016,"25,68"
BOURGOGNE-FRANCHE-COMTE,2016,"7,70"
BRETAGNE,2016,"10,09"
CENTRE-VAL DE LOIRE,2016,"6,80"
CORSE,2016,"0,70"
GRAND EST,2016,"16,16"
HAUTS-DE-FRANCE,2016,"16,55"
ILE-DE-FRANCE,2016,"55,23"
NORMANDIE,2016,"9,17"
NOUVELLE AQUITAINE,2016,"17,78"
OCCITANIE,2016,"17,68"
PAYS DE LA LOIRE,2016,"11,68"
PROVENCE-ALPES-COTE D'AZUR,2016,"17,99"
AUVERGNE-RHONE-ALPES,2017,"24,75"
BOURGOGNE-FRANCHE-COMTE,2017,"7,51"
BRETAGNE,2017,"10,10"
CENTRE-VAL DE LOIRE,2017,"6,74"
CORSE,2017,"0,69"
GRAND EST,2017,"15,68"
HAUTS-DE-FRANCE,2017,"16,26"
ILE-DE-FRANCE,2017,"54,49"
NORMANDIE,2017,"9,07"
NOUVELLE AQUITAINE,2017,"17,76"
OCCITANIE,2017,"17,23"
PAYS DE LA LOIRE,2017,"11,69"
PROVENCE-ALPES-COTE D'AZUR,2017,"17,44"
AUVERGNE-RHONE-ALPES,2018,"24,31"
BOURGOGNE-FRANCHE-COMTE,2018,"7,18"
BRETAGNE,2018,"9,52"
CENTRE-VAL DE LOIRE,2018,"6,45"
CORSE,2018,"0,64"
GRAND EST,2018,"14,47"
HAUTS-DE-FRANCE,2018,"16,01"
ILE-DE-FRANCE,2018,"51,24"
NORMANDIE,2018,"8,79"
NOUVELLE AQUITAINE,2018,"17,23"
OCCITANIE,2018,"16,86"
PAYS DE LA LOIRE,2018,"11,26"
PROVENCE-ALPES-COTE D'AZUR,2018,"17,27"
AUVERGNE-RHONE-ALPES,2019,"25,62"
BOURGOGNE-FRANCHE-COMTE,2019,"7,64"
BRETAGNE,2019,"10,28"
CENTRE-VAL DE LOIRE,2019,"7,00"
CORSE,2019,"0,73"
GRAND EST,2019,"15,28"
HAUTS-DE-FRANCE,2019,"16,26"
ILE-DE-FRANCE,2019,"54,81"
NORMANDIE,2019,"9,25"
NOUVELLE AQUITAINE,2019,"18,33"
OCCITANIE,2019,"17,63"
PAYS DE LA LOIRE,2019,"12,05"
PROVENCE-ALPES-COTE D'AZUR,2019,"18,19"
AUVERGNE-RHONE-ALPES,2020,"7,80"
BOURGOGNE-FRANCHE-COMTE,2020,"2,31"
BRETAGNE,2020,"3,27"
CENTRE-VAL DE LOIRE,2020,"2,13"
CORSE,2020,"0,20"
GRAND EST,2020,"4,57"
HAUTS-DE-FRANCE,2020,"4,89"
ILE-DE-FRANCE,2020,"17,37"
NORMANDIE,2020,"2,89"
NOUVELLE AQUITAINE,2020,"5,53"
OCCITANIE,2020,"5,27"
PAYS DE LA LOIRE,2020,"3,85"
PROVENCE-ALPES-COTE D'AZUR,2020,"5,14"
